s,a,r,sp
1208,9,-1.505317,1090
1208,10,-1.57381,1090
1208,11,-1.642302,1090
1208,12,-1.710794,1090
1208,13,-1.773995,1090
1208,14,-1.831905,1070
1208,15,-1.884524,1050
1208,16,-1.931852,990
1208,17,-1.973889,910
1208,18,-2.005344,810
1208,19,-2.036799,710
1208,20,-2.052381,630
1148,1,1.343519,1010
1148,2,1.643631,1050
1148,3,1.913339,1050
1148,4,2.094286,1070
1148,5,2.278502,1070
1148,6,2.457395,1090
1148,7,2.333,1090
1148,8,2.210951,1090
1148,9,2.099928,1090
1148,10,2.005556,1090
1148,11,1.918333,1090
